General skills,Active listening,Adaptability,Administration,Advocacy,Analysis,Analytical,Assertiveness,Attention to detail,Attentive,Business acumen,Business analysis,Business ethics,Business intelligence,Business management,Business writing,Coaching,Collaboration,Commercial awareness,Communication,Computer literacy,Confidence,Conflict management,Conflict resolution,Consulting,Coordination,Cooperation,Creative thinking,Creativity,Critical thinking,Customer care,Customer service,Data analysis,Data entry,Data management,Debating,Decision making,Dedication,Delegation,Diplomacy,Disability awareness,Dispute resolution,Driving licence,Emotional intelligence,Empathetic,Energetic,Enthusiastic,Entrepreneurial,Facilitator,Flexible,Independent,Innovative,Inspirational,Intercultural,Interpersonal communication,IT,Leadership,Leadership communication,Leadership development,Leading a team,Line management,Linguistics,Listening,Literacy,Logical thinking,Loyal,Management,Management communication,Management development,Managing a team,Managing ambiguity,Managing difficult conversations,Managing remote teams,Maths,Meeting management,Mentoring,Motivated,Motivational,Multitasking,Navigation,Negotiation,Networking,Nonverbal communication,Note taking,Numeracy,Numeric,Office administration,Organisation,Organisational,Patience,People management,Perseverant,Persistent,Personal development,Persuasion,Planning,Presentation,Presenting,Problem-solving,Productivity,Project coordination,Project management,Proofreading,Public speaking,Reading body language,Reading comprehension,Reasoning,Relationship building,Relationship management,Report writing,Research,Resilience,Resourceful,Respectful,Risk management,Self awareness,Self management,Self motivated,Sense of humour,Stakeholder management,Strategic planning,Strategic thinking skills,Supervising,Team building,Team leadership,Team management,Team player,Teamwork,Tenacity,Thinking outside the box,Time management,Timekeeping,Training,Troubleshooting,Tutoring,Typing,Verbal communication,Visual communication,Work ethic,Working under pressure,Writing,Writing English,Written communication,Effective communication,Teamwork,Responsibility,Creativity,Problem-solving,Leadership,Extroversion,People skills,Openness,Adaptability,Time management,Effective communication,Emotional intelligence,Conflict management,Teamwork skills,Stress management,Problem-solving,Productivity & organization,Critical thinking,Attention to detail,Adaptability
data bases,Oracle,MySQL,Microsoft SQL Server,PostgreSQL,MongoDB,IBM Db2,Redis,Elasticsearch,Microsoft Access,SQLite,Cassandra,Splunk,MariaDB,Teradata,Hive,Solr,HBase,FileMaker,SAP HANA,Amazon DynamoDB,SAP Adaptive Server,Neo4j,Couchbase,Memcached,Microsoft Azure SQL Database,Firebase,dynamoDB,OrientDB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
programing,HTML and CSS,Python,Java,JavaScript,Swift,C++,C#,R,Golang (Go),PHP,TypeScript,Scala,Shell,PowerShell,Perl,Haskell,Kotlin,Visual Basic .NET,SQL,Delphi,MATLAB,Groovy,Lua,Rust,Ruby,Git,Forth,Action Script,Turbo Pascal,Rebol,Assembly Language,Julia,Fortran,Common Lisp,Smalltalk,Cobol,Erlang,Objective-C,Basic Groovy,0Caml,F#,TCL,Lisp,TK,Ceylon,Ada,Scheme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marketing Skills,Data analysis,Web analytics,SEO/SEM,HTML & CSS,Wordpress,Email marketing,Web scraping,CRO and A/B Testing,Project/campaign management,Social media and mobile marketing,Paid social media advertisements,B2B Marketing,The 4 P-s of Marketing,Consumer Behavior Drivers,Brand management,Creativity,Copywriting,Storytelling,Sales,CMS Tools,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Management Skills,Six Sigma techniques,The McKinsey 7s Framework,Porter’s Five Forces,PESTEL,Emotional Intelligence,Dealing with work-related stress,Motivation,Task delegation,Technological savviness,People management,Business Development,Strategic Management,Negotiation,Planning,Proposal writing,Problem-solving,Innovation,Charisma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sales Skills,Customer Relationship Management (CRM),Cold-calling,Negotiation,Public speaking,Closing,Lead generation,Buyer-Responsive selling,Buyer engagement,Product knowledge,Persuasion,Effective communication and sociability,Empathy,Social media/digital communication,Teamwork,Time management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
" Design Skills",Adobe Creative Suite,Dreamweaver,Infographics,HTML & CSS,Photo editing,Typography,Storyboarding,Logo creation,Digital printing,Creativity,Attention to detail & aesthetics,Interactive media design,Color sense & theory,Ad design,Active listening,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Technical Skills,Microsoft Office Pack,Filing and paper management,Data entry,Bookkeeping through Excel or TurboTax,Research and data analysis,Basic knowledge of user interface communication,Technical writing,Cloud networking and file sharing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Finance Skills,Microsoft Excel (Advanced),Enterprise Resource Planning,Big Data Analysis & SQL,Know Your Customers (KYC),Cognos Analytics (IBM),Visual Basic,Accounting Software,Revenue recognition,Anti Money Laundering,Clear communication,General business knowledge,Numerical competence,Accuracy,Attention to detail,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Education Skills,Updated curriculum knowledge,Research & Data analysis,Communication,Educational platforms,Stress management,Technological & digital literacy,Patience,Critical thinking,Enthusiasm,Motivation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
